Question,Solution
"In Young’s double-slit experiment with slit separation 0.1 mm, one observes a bright fringe at angle 1/40 rad by using the light of wavelength λ1. When the light of wavelength λ2 is used a bright fringe is seen at the same angle in the same setup. Given that 1 and 2 are in the visible range (380 nm to 740 nm), their values are
A. 400 nm, 500 nm
B. 625 nm, 500 nm
C. 380 nm, 525 nm
D. 380 nm, 500 nm","Path difference = dsinθ = d × θ = (0.1mm)(1/40) = 2.5 x 10-3 mm = 2500 nm. For bright fringes, path difference = nλ. So, 2500 = nλ1 = mλ2. n = 4, m = 5 or λ1 = 2500/4 = 625 nm. λ2 = 2500/5 = 500 nm"
"In Young’s double-slit experiment, the path difference, at a certain point on the screen, between two interfering waves is (⅛)th of wavelength. The ratio of the intensity at this point to that at the centre of a bright fringe is close to
A. 0.80
B. 0.94
C. 0.85
D. 0.74","The phase difference between two waves is given as (Δx) x (2π/λ) = (λ/8) x (2π/λ) = π/4. So, the intensity at this point is I = I0cos2(Φ/2). I = I0cos2(π/8). I = I0 [(1+cos(π/4))/2] = = I0 [(1+(1/√2)/2] = 0.85I0"
"In a double-slit experiment, green light (5303 Å) falls on a double slit having a separation of 19.44 m and a width of 4.05 m. The number of bright fringes between the first and the second diffraction minima is
A. 10
B. 04
C. 05
D. 09","λg = 5303 Å, d = 19.44 m, a = 4.05 m. For diffraction location of first minima and second minima y1 = Dλ/a, y2 = 2Dλ/a. y2 – y1 = (2Dλ/a) – (Dλ/a) = Dλ/a. β = Dλ/d. Number of bright fringes = (y2 – y1)/β = (Dλ/a) x (d/Dλ) = d/a = 19.44/4.05 = 5"
"In an interference experiment the ratio of amplitudes of coherent waves is (a1/a2) = (⅓). The ratio of maximum and minimum intensities of fringes will be
A. 4
B. 9
C. 2
D. 18",(a1/a2) = (⅓). Imax = a1 + a2. Imin = a1 – a2. (Imax/Imin) = [(a1 + a2)2/(a1 – a2)2] = [(1 + 1/3)2/(1 – 1/3)2] = (4/2)2= 4
"In Young’s double-slit experiment, the ratio of the slit’s width is 4: 1. The ratio of the intensity of maxima to minima, close to the central fringe on the screen, will be
A. (√3 + 1)4:16
B. 9: 1
C. 25: 9
D. 4: 1",I1 = 4I0. I2 = I0. Imax = (√I1 + √I2)2 = (2√I0 + √I0)2= 9I0. Imin = (√I1 – √I2)2 = (2√I0 -√I0)2= I0. (Imax/Imin) = 9/1
"In Young’s double-slit experiment, slits are separated by 0.5 mm and the screen is placed 150 cm away. A beam of light consisting of two wavelengths, 650 nm and 520 nm, is used to obtain interference fringes on the screen. The least distance from the common central maximum to the point where the bright fringes due to both the wavelengths coincide are
A. 1.56 mm
B. 7.8 mm
C. 9.75 mm
D. 15.6 mm","Let y be the distance from the central maximum to the point where the bright fringes due to both the wavelengths coincides. Now, for λ1, y = m λ1D/d. For λ2, y = nλ2D/d. mλ1 = nλ2. (m/n) = λ2 / λ1 = (520)/(650) =4/5 i.e. with respect to central maximum 4th bright fringe of λ1 coincides with 5th bright fringe of λ2. Now, y = (4 x 650 x 10-9 x 1.5)/(0.5 x 10-3) m = 7.8 × 10–3 m or y = 7.8 mm"
"Unpolarized light of intensity I0 is incident on the surface of a block of glass at Brewster’s angle. In that case, which one of the following statements is true?
A. Transmitted light is partially polarized with intensity I0 /2
B. Transmitted light is completely polarized with intensity less than I0 /2
C. The reflected light is completely polarized with intensity less than I0 /2
D. The reflected light is partially polarized with intensity I0 /2","At Brewster’s angle, i = tan–1(μ), the reflected light is completely polarized, whereas refracted light is partially polarized. Thus, the reflected ray will have lesser intensity compared to the refracted ray."
"A beam of unpolarized light of intensity I0 is passed through a polaroid A and then through another polaroid B which is oriented so that its principal plane makes an angle of 45° relative to that of A. The intensity of the emergent light is
A. I0/8
B. I0
C. I0/2
D. I0/4","The intensity of light after passing polaroid A is I1 = I0/2. Now this light will pass through the second polaroid B whose axis is inclined at an angle of 45° to the axis of polaroid A. So in accordance with Malus law, the intensity of light emerging from polaroid B is I2 = I1cos245 = (I0/2)(1/√2)2= I0/4"
"A sample of radioactive material A, that has an activity of 10 mCi (1 Ci = 3.7 × 1010 decays/s) has twice the number of nuclei as another sample of a different radioactive material B, which has an activity of 20 mCi. The correct choices for half-lives of A and B would then be respectively
A. 20 days and 5 days
B. 10 days and 40 days
C. 20 days and 10 days
D. 5 days and 10 days","RA = 10 mCi, RB = 20 mCi, NA = 2NB
RA/RB = λANA/λBNB = [(T1/2)B/ (T1/2)A] x [NA/NB]
(½) = [(T1/2)B/ (T1/2)A] x 2 ⇒ (T1/2)A= 4(T1/2)B
Answer: (a) 20 days and 5 days"
"Radiation coming from transitions n = 2 to n = 1 of hydrogen atoms fall on He+ ions in n = 1 and n = 2 states. The possible transition of helium ions as they absorb energy from the radiation?
","E = 13.6 (1/1 – ¼) = 13.6 x (¾) = 10.2 eV
Let us check the transitions possible on He
n = 1 or n = 2
E1 = 4 x 13.6 (1 – ¼) = 40.8 eV [E1 ＞ E, hence not possible]
n = 1 or n = 3
E2 = 4 x 13.6 (1 – (1/9)) = 48.3 eV [E2 ＞ E, hence not possible]
n = 2 or n = 3
E3 = 4 x 13.6 ((¼) – (1/9)) = 7.56 eV [E3 ＜ E, hence it is possible]
n = 2 or n = 4
E4 = 4 x 13.6 ((¼) – (1/6)) = 10.2 eV [E4 = E, hence it is possible]
Hence E3 and E4 can be possible
Answer: E3 and E4 is possible"
"Two radioactive materials A and B have decay constants 10λ and λ, respectively. If initially, they have the same number of nuclei, then the ratio of the number of nuclei of A to that of B will be 1/e after a time
A. 1/9λ
B. 11/10λ
C. 1/10λ
D. 1/11λ","N = N0e-λt
So, N1 = N0e-10λt and N2 = N0e-λt
⇒ (1/e) = (N1/N2) = (N0e-10λt )/(N0e-λt )
⇒ (1/e) = e-9λt = e-1 = e-9λt
⇒ 1 = 9λt ⇒ t = 1/9λ
Answer: (a) 1/9λ"
"Half-lives of two radioactive nuclei A and B are 10 minutes and 20 minutes, respectively. If, initially a sample has an equal number of nuclei, then after 60 minutes, the ratio of decayed numbers of nuclei A and B will be
A. 3: 8
B. 1: 8
C. 9: 8
D. 8: 1","By the law of radioactivity N = N0 e-λt
For nuclei A,
NA = N0Ae-λt
Or (NA/N0A) = (½)n = (½)t/10 = (½)6 ——-(1)
NA= N0A/ 26
For nuclei B,
(NB/N0B) = (½)n = (½)t/20 = (½)3——-(2)
⇒ NB = (N0B)/23
Ratio of nuclei decayed will be
(N’A/N’B)= (N0A – NA)/(N0B – NB) = (N0A/N0B)[1 – (½)6/1 – (½)3] = 9/8
Answer: (c) 9: 8"
"Two radioactive substances A and B have decay constant 5λ and λ respectively. At t = 0, a sample has the same number of the two nuclei. The time taken for the ratio of the number of nuclei to become (1/e)2 will be
A. 2/λ
B. 1/λ
C. 1/4λ
D. 1/2λ","The number of undecayed nuclei at any time t,
N = N0 e-λt
As N0A = N0B (given)
So, for nuclei A and B
(NA/NB) = e(-λA + λB )t
t = [1/(λB – λA)]In(NA/NB) = 1/(λ – 5λ)In(1/e2) = 1/2λ
Answer: (d) 1/2λ"
"The radiation corresponding to 3➝2 transitions of hydrogen atom falls on a metal surface to produce photoelectrons. These electrons are made to enter a magnetic field of 3 × 10–4 T. If the radius of the largest circular path followed by these electrons is 10.0 mm, the work function of the metal is close to
A. 1.6 eV
B. 1.8 eV
C. 1.1 eV
D. 0.8 eV","Radius of a charged particle moving in a constant magnetic field is given by
R = (mv/qB) or R2 = m2v2/q2B2
R2 = [2m((½)mv2)]/q2B2
R2= 2m(K.E)/q2B2
⇒ K.E = (q2B2R2)/2m ⇒ K.Emax = (q2B2R2max )/2m = 0.80 eV
Energy of photon corresponding transition from orbit 3➝ 2 in hydrogen atom.
E = 13.6(1/22) – (1/32)) = 1.89 eV
Using Einstein photoelectric equation.
E = K.Emax + Φ
⇒ 1.89 = 0.8 + Φ
⇒Φ = 1.09 ≈ 1.1 eV
Answer (c) 1.1 eV"
"Assume that a neutron breaks into a proton and an electron. The energy released during this process is (Mass of neutron = 1.6725 × 10–27 kg Mass of proton = 1.6725 × 10–27 kg Mass of electron = 9 × 10–31 kg)
A. 7.10 MeV
B. 6.30 MeV
C. 5.4 MeV
D. 0.73 MeV","Mass defect, ∆m = mp + me – mn
∆m = (1.6725 x 10-27) + ( 9 x 10-31) – (1.6725 x 10-27) Kg
∆m = 9 x 10-31 kg
Energy released = ∆mc2
Energy released = (9 x 10-31) x (3 x 108)2 J
Energy released = [(9 x 10-31) x (9 x 1016)]/[1.6 x 10-13 ] Mev = 0.51 MeV
Answer: None of the given options are correct"
"The half-life period of a radioactive element X is the same as the mean lifetime of another radioactive element Y. Initially, they have the same number of atoms. Then
A. X and Y decay at the same rate always
B. X will decay faster than Y
C. Y will decay faster than X
D. X and Y have the same decay rate initially","T1/2, half-life of X = Tmean , mean life of y
Or 0.693/λx = 1/λy
λx = 0.693λy
λx ＜ λy
Rate of decay = λN
Initially, number of atoms (N) of both are equal but since λx ＜ λy, therefore y will decay at a faster rate than x
Answer: (c) Y will decay faster than X"
"If the binding energy of the electron in a hydrogen atom is 13.6 eV, the energy required to remove the electron from the first excited state of Li++ is
A. 30.6 eV
B. 13.6 eV
C. 3.4 eV
D. 122.4 eV","E2 = (-Z2E0)/n2
E2 = (-(3)2 x 13.6)/(2)2
= – 30.6 eV
Energy required = 30.6 eV
Answer: (a) 30.6 eV"
"Two-point masses of 0.3kg and 0.7kg are fixed at the ends of a rod which is of length 1.4m and of negligible mass. The rod is set rotating about an axis perpendicular to its length with a uniform angular speed. The point on the rod through which the axis should pass in order that the work required for rotation of the rod is minimum is located at a distance of
A. 0.42 m from the mass of 0.3kg
B. 0.70 m from the mass of 0.7kg
C. 0.98m from the mass of 0.3kg
D. 0.98m from the mass of 0.7kg","The moment of inertia of the system about the axis of rotation O is I = I1 + I2 = (0.3)x^2 + 0.7 (1.4 -x)^2. I = 0.3x^2+ 0.7(1.96 + x^2– 2.8 x) = 0.3x^2+ 1.372 + 0.7x^2– 1.96 x = x^2 + 1.372 – 1.96x. The work done in rotating the rod is converted into its rotational kinetic energy. W = ½ Iω^2 = ½[x^2 + 1.372 – 1.96x]ω^2. For the work done to be minimum dW/dx = 0 ⇒2x – 1.96 =0. x = 1.96/2 = 0.98m. Therefore, the correct answer is 0.98m from the mass of 0.3kg."
"A particle undergoes uniform circular motion. About which point on the plane of the circle, will the angular momentum of the particle remain conserved?
A. centre of the circle
B. on the circumference of the circle
C. inside the circle
D. outside the circle","The force will pass through the centre of the circle. Therefore, the angular momentum will remain conserved at the centre of the circle."
"A child is standing with folded hands at the centre of a platform rotating about its central axis. The kinetic energy of the system is K. The child now stretches his arms so that the moment of inertia of the system doubles. The kinetic energy of the system now is
A. 2K
B. K/2
C. K/4
D. 4K","According to the conservation of angular momentum, Iω0 = I1ω1. So we have I1 =2I, ω1 = ω0 /2. Initial kinetic energy =Iω0^2/2 =K. Final Kinetic energy = I1ω1^2/2 = 2I(ω0/2)^2/2 =K/2."
"A particle is confined to rotate in a circular path with decreasing linear speed. Then which of the following is correct?
A. angular momentum is conserved about the centre
B. only the direction of L is conserved
C. it spirals towards the centre
D. its acceleration is towards the centre","L is not conserved in magnitude since v is changing (decreasing). It is given that a particle is confined to rotate in a circular path, it cannot have a spiral path. Since the particle has two accelerations ac and at therefore the net acceleration is not towards the centre. The direction of L remains the same even when the speed decreases."
"A bob of mass M is suspended by a massless string of length L. The horizontal velocity V at position A is just sufficient to make it reach point B. The angle θ at which the speed of the bob is half of that at A satisfies
A. θ= π/2
B. π/4 < θ < π/2
C. π/2 < θ < 3π/4
D. 3π/2 < θ < π","This is the case of vertical motion when the body just completes the circle. Here v = √(5gL). Applying energy conservation, ½ mv0^2 = ½ mv^2 + mgl(1-cosθ)———-(1), where v0 is the horizontal velocity at the bottom point, v is the velocity of bob where the bob inclined θ with vertical. Also, we know the relation between the velocity at the topmost and velocity at the bottom point. mg(2l) =½ mv0^2 -1/2mvtop^2———-(2). Since v0 is just sufficient mvtop^2/l = T + mg, T = 0, v_top=√(gl). Then equation 2 becomes v_0=√(5gl). According to the question v= v0/2. So from equation (1), ½ m(5gl) = ½ m (5gl/4) + mgl(1-cosθ), (20mgl – 5mgl)/8 = mgl(1-cosθ), (1-cosθ) = 15/8, Cosθ = ⅞. Hence, 3π/2 < θ < π"
"A ball of mass (m) 0.5 kg is attached to the end of a string having a length (L) 0.5 m. The ball is rotated on a horizontal circular path about a vertical axis. The maximum tension that the string can bear is 324 N. The maximum possible value of the angular velocity of ball (in radian/s) is
A. (a) 9
B. (b).18
C. (c) 27
D. (d) 36",mω^2Lsinθcosθ = mgsinθ. Cos θ = g/ω^2L. Sin θ = 1/ω^2L. sinθ = (1/ω^2L)√(ω^2L)^2-g^2. T=mgcosθ+ mω^2Lsin^2θ. T = mg(g/ω^2L) + (mω^2/ω^2L)^2((ω^2L)^2 -g^2). T = mg/ω^2L[g^2 + (ω^2L)^2 – g^2]. T = mω^2L = 324 (given). ω = √(324/(0.5x0.5)). ω = 36 rad/s
"A thin ring of mass 2 kg and radius 0.5 m is rolling without slipping on a horizontal plane with velocity 1 m/s. A small ball of mass 0.1 kg, moving velocity 20 m/s in the opposite direction hits the ring at a height of 0.75 m and goes vertically up with velocity 10 m/s. Immediately after the collision.
A. (a) The ring has pure rotation about its stationary CM
B. (b) The ring comes to a complete stop
C. (c) Friction between the ring and the ground is to the left
D. (d) There is no friction between the ring and the ground","Let’s assume that friction between the ground and the ring gives no impulse during the collision with the ball. Using conservation of momentum along the x-axis we get that the CM of the ring will come to rest. Thus option A is correct. Secondly, the question tells us that the ball gets a velocity in the vertical direction, hence there must be an impulse in the vertical direction. There will be horizontal and a vertical impulse on the ring at the point of contact. These will have components along the tangent of the ring, which will provide angular impulses. Using angular impulse = change in angular momentum, we get =2cos300(1/2) -1sin300(1/2)=2(¼)(ω2 – ω1), note that we have assumed that the direction of angular velocities is the same before and after and since LHS of the above equation is positive  ω2 > ω1 so the ring must be slipping to right and hence the friction will be to the left as it will be opposite to the direction of motion. Thus option C is correct"
"A carpet of mass M, made of inextensible material is rolled along its length in the form of a cylinder of radius R and is kept on the rough floor. The carpet starts unrolling without sliding on the floor when a negligibly small push is given to it. Calculate the horizontal velocity of the axis of the cylindrical part of the carpet when its radius reduces to R/2.
A. (a) √(14/3 * gR)
B. (b) √(7/3 * gR)
C. (c) √(2gR)
D. (d) √(gR)","The radius is reduced to R/2, the mass of the rolled carpet = (M/πR^2l) × (R/2)^2l = M/4. Release of potential energy = MgR- (M/4)gR/2 = ⅞MgR. The kinetic energy at this instant is given by = ½ Mv^2 + ½Iω^2 = ½ (M/4)v^2 + ½(MR^2/32)(2v/R)^2 = (3/16)Mv^2. (3/16)Mv^2 = ⅞MgR. v = √(14/3 * gR)"
"A bob of mass m attached to an inextensible string of length is suspended from a vertical support. The bob rotates in a horizontal circle with an angular speed ω rad/s about the vertical. About the point of suspension
A. (a) Angular momentum changes in direction but not in magnitude
B. (b) Angular momentum changes both in direction and magnitude
C. (c) Angular momentum is conserved
D. (d) Angular momentum changes in magnitude but not in direction.",Angular momentum changes in direction but not in magnitude
"A roller is made by joining together two cones at their vertices O. It is kept on two rails AB and CD which are placed asymmetrically (see figure), with its axis perpendicular to CD and its centre O at the centre of the line joining AB and CD (see figure). It is given a light push so that it starts rolling with its centre O moving parallel to CD in the direction shown. As it moves, the roller will tend to
A. (a) turn left and right alternately
B. (b) turn left
C. (c) turn right
D. (d) go straight","As the cone moves forward, the line of contact in the left half tends to slip in the forward direction. As a result the radius at the left in contact decreases. The roller will move to the left."
"The moment of inertia of a uniform cylinder of length and radius R about its perpendicular bisector is I. What is the ratio l/R such that the moment of inertia is minimum?
A. (a) 1
B. (b) 3√2
C. (c) √3/2
D. (d) √(3/2)","Moment of Inertia I = m [I^2/12 + R^2/4]. Volume = πR^2l. Writing Moment of inertia in terms of volume, we get I = m/4(V/πl + I^2/3). Differentiating the above equation we get dI/dl = m/4 (-V/πl^2 + 2I/3). For maxima and minima, dI/dl = 0. So m/4 (-V/πl^2 + 2I/3) = 0. V/πl^2 = 2I/3. R^2/l = 2I/3 (Volume = πR^2l). l^2/R^2 = 3/2. l/R = √(3/2)"
"From a uniform circular disc of radius R and mass 9M, a small disc of radius R/3 is removed as shown in the figure. The moment of inertia of the remaining disc about an axis perpendicular to the plane of the disc and passing through the centre of the disc is
A. (a) (40/9)MR^2
B. (b) 10MR^2
C. (c) (37/9)MR^2
D. (d) 4MR^2",Mass of the disc given = 9M. Mass of the removed portion = M. The moment of inertia of the complete disc about an axis passing through its centre O and perpendicular to its plane is I1= 9/2 MR^2. The moment of inertia of the disc with portions removed I2 = ½M(R/3)^2 = (1/18)MR^2. The moment of inertia of the remaining portion of the disc about O is I = I1 – I2. I = 9(MR^2/2) – MR^2/18. I = 40 MR^2/9
"Seven identical circular planar disks, each of mass M and radius R are welded symmetrically as shown. The moment of inertia of the arrangement about the axis normal to the plane and passing through the point P is
A. (a) (55/2)MR^2
B. (b) (73/2)MR^2
C. (c) (181/2)MR^2
D. (d) (19/2)MR^2",I0 = Icm + md^2. I0 = (7MR^2/2) + 6(M x (2R)^2) = 55MR^2/2. Ip = I0 + md^2. Ip = 55MR^2/2 + 7M(3R)^2 = (181/2)MR^2
"A pulley of radius 2 m is rotated about its axis by a force F =20t-5t^2 newton (where t is measured in seconds) applied tangentially. If the moment of inertia of the pulley about its axis of rotation is 10 kgm^2, the number of rotations made by the pulley before its direction of motion it reversed, is
A. (a) more than 6 but less than 9
B. (b) more than 9
C. (c) less than 3
D. (d) more than 3 but less than 6","Torque is given by τ = FR. Or α = FR/I. Given F =20t – 5t^2, R = 2m, I = 10 kgm^2, α = [(20t – 5t^2) x 2]/10, α = 4t – t^2, ω = ∫(0 to t) α dt=2t^2 – t^3/3, at ω = 0 ⇒ 2t^2 -t^3/3 = 0, t^3 = 6t^2, t = 6, θ = ∫(0 to 6) ω dt= ∫(0 to 6)(2t^2-t^3/3)dt, θ = 36/2π <6"
"If the distance between the earth and the sun were half its present value, the number of days in a year would have been
A. 64.5
B. 129
C. 182.5
D. 730","From Kepler’s law, T2∝ R3. Therefore, (T2/T1)^2 = (R2/R1)^3. T1 = 365 days , R1 =R , R2 = R/2. (T2/365)^2 = (R/2 / R)^3. T2^2 = (365)^2/8. T2^2 = 16,653. T2 = 129 days. Answer: (b)129 days"
"The mass of a spaceship is 1000 kg. It is to be launched from the earth’s surface out into free space. The value of ‘g’ and ‘R’ (radius of the earth) is 10 m/s2 and 6400 km respectively. The required energy for this work will be
A. 6.4 x 1010 Joules
B. 6.4 x 1011 Joules
C. 6.4 x 108 Joules
D. 6.4 x 109 Joules",The energy required is given by = GMm/R = gR2 x m/R (∵ g = GM/R2) = mgR = 1000 x 10 x 6400 x 103 = 64 x 109 J = 6.4 x 1010 J. Answer: (a) 6.4 x 1010 Joules
"An artificial satellite moving in a circular orbit around the earth has a total (K.E. + P.E.) energy E0. Its potential energy is
A. – E0
B. 1.5 E0
C. 2 E0
D. E0","Total Energy, E0 = – GMm/2r. Potential Energy, U = -GMm/r = 2E0. Answer: (c) 2 E0"
"The height at which the acceleration due to gravity becomes g/9 (where g = the acceleration due to gravity on the surface of the earth) in terms of R, the radius of the earth, is
A. R/2
B. R/3
C. 2R
D. 3R","Acceleration due to gravity at a height “h” is given by g’ = g (R/R+h)2. Here, g is the acceleration due to gravity on the surface. R is the radius of the earth. As g’ is given as g/9, we get g/9 = g(R/R+h)2. ⅓ = R/(R+h). h=2R. Answer: (c) 2R"
"A simple pendulum has a time period T1 when on the earth’s surface, and T2 when taken to a height R above the earth’s surface, where R is the radius of the earth. The value of T2/T1 is
A. 1
B. 3
C. 4
D. 2",The time period of a simple pendulum = 2π √(l/g). On the surface of earth g1 = GM/R2. At a height R above the earth g2= GM/(2R)2. (g1/g2) = (4/1). T = 2π√(l/g). The time period on the surface of the earth T1 = 2π √(l(R)^2/GM). The time period on the surface of the earth T2 = 2π √(l(2R)^2/GM). T2/T1 = 2. Answer: (d) 2
"A geostationary satellite orbits around the earth in a circular orbit of radius 36,000km. Then, the time period of a spy satellite orbiting a few hundred km above the earth’s surface (R =6,400km) will approximately be
A. (l/2)hr
B. 1 hr
C. 2 hr
D. 4 hr","According to Kepler’s law, T2∝ R3. Therefore, (T2/T1)^2 = (R2/R1)^3. For a spy satellite time period is given by T1. R1 = 6400 km. For a geostationary satellite, T2 = 24hour. R2 = 36,000 km. (24/T1)^2 = (36000/6400)^3. (24/T1)2= 178. (24/T1) = 13.34. T1 = 24/13.34 ≈ 2hr. Answer: (c) 2 hr"
"Two bodies of masses m and 4m are placed at a distance r. The gravitational potential at a point on the line joining them where the gravitational field is zero is
A. -6Gm/r
B. -9Gm/r
C. Zero
D. -4Gm/r","P is the point where the field is zero, and a unit mass is placed at P. Applying Newton’s law of gravitation, (Gm x 1)/x2 = (G4m x 1)/(r – x)2. x2/(r – x)2= ¼. x/(r – x)= ½. 2x = r – x. x = r/3. Potential at the point P, V = – Gm/x – G(4m)/(r-x). V = -Gm/(r/3) – G(4m)/(r-r/3). V = -9Gm/r. Answer: (b) -9Gm/r"
"A Binary star system consists of two stars A and B which have time periods TA and TB, radii RA and RB and masses MA and MB. Then
A. TA ＞TB then RA ＞RB
B. TA ＞TB then MA ＞MB
C. (TA/TB)2 = (RA/RB)2
D. TA = TB",Angular velocity of binary stars are the equal ωA = ωB. 2π/TA = 2π /TB. ⇒ TA = TB. Answer: (d) TA = TB
"Two particles of equal mass “m” go around a circle of radius R under the action of their mutual gravitational attraction. The speed of each particle with respect to their centre of mass is
A. √(Gm/R)
B. √(Gm/4R)
C. √(Gm/3R)
D. √(Gm/2R)",Gm2/4R2 = mV2/R. V= √(Gm/4R). Answer: (b)
"A satellite is moving with a constant speed ‘V’ in a circular orbit about the earth. An object of mass “m” is ejected from the satellite such that it just escapes from the gravitational pull of the earth. At the time of its ejection, the kinetic energy of the object is
A. 1/2 mV2
B. mV2
C. 3/2 mV2
D. 2 mV2",Kinetic energy at the time of ejection = ½ mve2. Ve is the escape velocity = √2 x orbital velocity =√2v. Kinetic energy at the time of ejection = ½ m(√2 v)^2 = mv2. Answer: (b) mv2
"Three particles, each of mass m, are situated at the vertices of an equilateral triangle of side length a. The only forces acting on the particles are their mutual gravitational forces. lt is desired that each particle moves in a circle while maintaining the original mutual separation a. Find the initial velocity that should be given to each particle and also the time period of the circular motion. (F = Gm1m2/r2)
","ABC is an equilateral triangle of sides a. Each particle moves in a circle of radius r. AD2 = a2 -a2/4, r = ⅔AD. r=2/3 * √(a^2-a^2/4) = a/√3…..(1). To find v. Let v= Initial velocity given to each particle. For circular motion, centripetal force should be provided. It is provided by the gravitational force between two masses. Let F denote this force. F = Gm2/a2——-(2). Resultant force = √(F^2 + F^2 +2F^2cos60^0) = √3 F. Resultant force = Centripetal force. √3F. V^2=√3Fr/m=√3/m * (Gm^2/a^2)(a/√3) = Gm/a. V=√(Gm/a). 2. To find time period of circular motion(T). T = 2πr/V =2π (a/√3)*√(a/Gm)=2π √(a^3/3Gm). Therefore, T=2π √(a^3/3Gm). Answer: V=√(Gm/a), T=2π √(a^3/3Gm)"
"What is the minimum energy required to launch a satellite of mass m from the surface of a planet of mass M and radius R in a circular orbit at an altitude of 2R?
A. 5GmM/6R
B. 2GmM/3R
C. GmM/2R
D. GmM/3R",Energy of the satellite on the surface of the Earth E1 = -GMm/R. Energy at a distance 2R is given by E2 = -GMm/3R + ½mvo2. E2 = -GMm/3R + ½m[GM/3R]. E2 = -GmM/6R. E2 -E1 = (-GmM/6R) – ( -GMm/R ) = 5GmM/6R. Answer: (a) 5GmM/6R
"Suppose that the angular velocity of rotation of earth is increased. Then,as a consequence
A. There will be no change in weight anywhere on the earth
B. Weight of the object, everywhere on the earth, will increase
C. Except at poles, weight of the object on the earth will decrease
D. Weight of the object, everywhere on the earth, will decrease.","The effect of rotation of earth on acceleration due to gravity is given by g’ = g – ω2Rcos2Φ. Where Φ is latitude. There will be no change in gravity at poles as Φ = 900, at all points as ω increases g’ will decrease. Answer: (c) Except at poles, weight of the object on the earth will decrease"
"A particle is moving with a uniform speed in a circular orbit of radius R in a central force inversely proportional to the nth power of R. If the period of rotation of the particle is T, then
A. T ∝ R3/2
B. T ∝ R(n/2)+1
C. T ∝ R(n+1)/2
D. T ∝ Rn/2","According to the question, central force is given by Fc ∝ 1/Rn. Fc =k (1/Rn). mω2R = k(1/Rn). m(2π)^2/T^2=k * 1/R^(n+1). Or T2 ∝ Rn+1. T ∝ R(n+1)/2. Answer: (c) T ∝ R(n+1)/2"
"A gas mixture consists of 3 moles of oxygen and 5 moles of argon at temperature T. Considering only translational and rotational modes, the total internal energy of the system is
A. 20 RT
B. 12 RT
C. 4 RT
D. 15 RT","U = (f1/2)n1RT + (f2/2)n2RT, U = (5/2)(3RT) + (3/2)(5RT), U = 15RT"
"An ideal gas is enclosed in a cylinder at a pressure of 2 atm and temperature, 300 K. The mean time between two successive collisions is 6 × 10–8 s. If the pressure is doubled and the temperature is increased to 500 K, the mean time between two successive collisions will be close to
A. 4 × 10–8 s
B. 3 × 10–6 s
C. 0.5 × 10–8 s
D. 2 × 10–7 s","Root mean square velocity Vrms = sqrt(3RT/M) = sqrt(3P/ρ), Here, R is the universal gas constant, M is the molar mass, P is the pressure due to gas, ρ is the density, Vrms ∝ √T, Vrms ∝ mean free path/ time between successive collisions, And mean free path Y = kT/(sqrt(2π σ^2 P)), Vrms ∝ Y/b, Vrms ∝ T/√(p) * t….(i), But Vrms ∝ √T ……(2), √T ∝ T/√p * t, t ∝ √T/p, t2/t1 = √(T2/T1 * P1/P2), t2/t1 = √(500/300 * P1/2P1) = √(5/6), t2 = √(5/6)t1, t2 ≈ 4 x 10 -8 s"
"The specific heats, CP and CV of gas of diatomic molecules, A, is given (in units of J mol–1 K–1) by 29 and 22, respectively. Another gas of diatomic molecules, B, has the corresponding values 30 and 21. If they are treated as ideal gases, then
A. A has a vibrational mode but B has none.
B. A has one vibrational mode and B has two.
C. A is rigid but B has a vibrational mode.
D. Both A and B have a vibrational mode each.","Here Cp and Cv of A are 29 and 22 and Cp and Cv of B are 30 and 21. γ = Cp/Cv = 1 + 2/f. For A, Cp/Cv = 1 + 2/f ⇒ f=6. Molecules A has 3 translational, 2 rotational and 1 vibrational degree of freedom. For B, Cp/Cv = 1 + 2/f ⇒ f=5 i.e., B has 3 translational and 2 rotational degrees of freedom."
"Two moles of helium gas is mixed with three moles of hydrogen molecules (taken to be rigid). What is the molar specific heat of mixture at constant volume? (R = 8.3 J/mol K)
A. 21.6 J/mol K
B. 19.7 J/mol K
C. 15.7 J/mol K
D. 17.4 J/mol K","Cv1 of helium = (3/2)R, Cv2 of hydrogen = (5/2)R, C_v of mixture = (2*(3/2)R+3*(5/2)R)/(2+3), Cv of mixture = 17.4 J/mol K"
"The mass of a hydrogen molecule is 3.32 × 10–27/ kg. If 1023 hydrogen molecules strike, per second, a fixed wall of area 2 cm2 at an angle of 45° to the normal, and rebound elastically with a speed of 103 m s–1, then the pressure on the wall is nearly
A. 2.35 × 103 N m–2
B. 4.70 × 103 N m–2
C. 2.35 × 102 N m–2
D. 4.70 × 102 N m–2","As pi = pf, Net force on the wall, F = dp/dt = 2npfcos450= 2nmvcos450. Here, n is the number of hydrogen molecules striking per second. Pressure = F/A = (2nmvcos450)/Area = (2*10^23*3.32*10^-27*10^3*(1/√2))/(2*10^-4)"
"In an ideal gas at temperature T, the average force that a molecule applies on the walls of a closed container depends on T as Tq. A good estimate for q is
A. 2
B. 1
C. 4/5
D. 4/7","Pressure, P = ⅓(mN/V)V2rms, P = (mN)T/V, If the gas mass and temperature are constant then P ∝ (Vrms)2 ∝ T, So, force ∝ (Vrms)2 ∝ T, I.e., Value of q = 1"
